Nome,Concession,Ano_Opera,Tensao,longitude,latitude,g_conf
SE Abdon Batista,ETSE - ETSE - EMPRESA DE TRANSMISSÃO SERRANA S.A,2014,525/230,-51.07219306,-27.57180736,0.21
SE Abunã,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/138,-65.16752247,-9.71103552,0.47
SE Açailândia,EATE - Empresa Amazonense de Transmissão de Energia S.A.,2003,500,-47.403437,-4.91898605,0.54
SE Acaraú II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2010,230/69,-40.11407421,-2.92766239,0.37
SE Açu II,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/138/69,-36.90839717,-5.59277794,0.76
SE Açu III,ATEXVII - ATE XVII TRANSMISSORA DE ENERGIA SA,2017,500/230,-37.02968156,-5.57882845,0.04
SE Adrianópolis,FURNAS - Furnas Centrais Elétricas S.A.,1970,500/345/138,-43.47633645,-22.66579527,0.07
SE Água Azul,AGUA AZUL SPE - SUBESTACAO AGUA AZUL SPE S.A.,2019,440/138,-46.40137444,-23.37504985,0.28
SE Água Vermelha,AES TIETÊ - AES Tietê S.A.,1978,500/440/138,-50.348877,-19.860901,0.45
SE Águas Lindas,CELG - GT - CELG GERAÇÃO E TRANSMISSÃO S/A,1998,230/69,-48.27570866,-15.76753517,0.69
SE Alegrete 2,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69,-55.72481046,-29.77749996,0.55
SE Altamira,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/69,-52.17962128,-3.13688171,0.06
SE Anastácio,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,230/138,-55.84166709,-20.56760084,0.43
SE Andirá Leste,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,2019,230/138,-50.19299229,-23.07730931,0.58
SE Angelim,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-36.29460629,-8.89344329,0.97
SE Angra dos Reis,FURNAS - Furnas Centrais Elétricas S.A.,-,500/138,-44.45594721,-23.00690292,0.85
SE Anhanguera,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,345/230/88,-46.76829923,-23.4931605,0.8
SE Aparecida,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,230/88,-45.2550133,-22.86910151,0.97
SE Apucarana,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,-,230/138/34;5,-51.44679836,-23.53451958,0.02
SE Aracati II,BONS VENTOS - BONS VENTOS GERADORA DE ENERGIA S.A.,2010,230/34;5,-37.76327093,-4.48815009,0.26
SE Araçuaí 2,TRANSIRAPÉ - COMPANHIA TRANSIRAPÉ DE TRANSMISSÃO,2007,230/138,-42.02005542,-16.83429287,0.59
SE Arapiraca III,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,2013,230/69,-36.64958945,-9.78688035,0.68
SE Araraquara CTP,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,440/138,-48.26392,-21.782681,0.25
SE Araraquara FUR,FURNAS - Furnas Centrais Elétricas S.A.,1976,500,-48.25342601,-21.77400103,0.75
SE Araraquara 2,ARARAQUARA - ARARAQUARA TRANSMISSORA DE ENERGIA S.A,2012,500/440,-48.34966944,-21.83356413,0.62
SE Araras,IEP - INTERLIGAÇÃO ELÉTRICA PINHEIROS S.A,2010,440/138,-47.461887,-22.395742,0.01
SE Arcoverde II,ARCOVERDE - ARCOVERDE TRANSMISSAO DE ENERGIA S.A.,2019,230/69,-37.00373269,-8.49920029,0.9
SE Areia,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,1997,525/230/138,-51.600344,-25.969181,0.72
SE Ariquemes,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/69,-63.01232074,-9.92635945,0.56
SE Assis,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,500/440/230,-50.35067744,-22.66873485,0.49
SE Atibaia II,IEP - INTERLIGAÇÃO ELÉTRICA PINHEIROS S.A,2013,345/138,-46.55733825,-23.04707409,0.51
SE Atlântida 2,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,2007,230/69,-50.05462646,-29.78240967,0.86
SE Avaré Nova,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,2003,230,-48.932903,-23.06260683,0.65
SE Barão de Cocais 3,CEMIG - Companhia Energética de Minas Gerais,2005,230,-43.441603,-19.853037,0.38
SE Bagé 2,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,-,230/69/23/13;8,-54.07140261,-31.28880287,0.21
SE Baixada Santista,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,345/230/138/88,-46.42041,-23.859619,0.76
SE UHE Balbina,-,1989,230/13;8,-59.47998851,-1.91960684,0.3
SE Balsas,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,2011,230/69,-46.01802629,-7.55938293,0.43
SE Banabuiú,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/69,-38.91225214,-5.30520321,0.75
SE Bandeirantes,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,345/88/34;5,-46.69224337,-23.59887274,0.2
SE Bandeirantes,FURNAS - Furnas Centrais Elétricas S.A.,1972,345/230,-49.23377755,-16.79311347,0.24
SE Barbacena 2,CEMIG - Companhia Energética de Minas Gerais,1963,345/138/13;8,-43.75477339,-21.18575055,0.88
SE Barra do Peixe,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/138,-52.61653602,-16.49557387,0.32
SE Barra Grande,ETAU - EMPRESA DE TRANSMISSÃO DO ALTO DO URUGUAI S/A,2005,230,-51.18445501,-27.76904745,0.45
SE Barreiras,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/138/69,-44.946594,-12.134399,0.41
SE Barreiras II,ATEXVI - ATE XVI TRANSMISSORA DE ENERGIA SA,2017,500/230,-44.8106105,-12.17187984,0.4
SE Barreiro 1,CEMIG - Companhia Energética de Minas Gerais,1964,345/138,-43.99137684,-20.0002707,0.94
SE Barro Alto,FURNAS - Furnas Centrais Elétricas S.A.,1982,230/69,-48.92546506,-15.11940065,0.46
SE Barro Branco,FURNAS - Furnas Centrais Elétricas S.A.,2013,345,-43.31799316,-20.43188476,0.29
SE Bateias,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,1999,525/230/138,-49.53264158,-25.41165169,0.48
SE Bauru,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,440/138,-49.096008,-22.282776,0.91
SE Biguaçu,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,2008,525/230/138,-48.733391,-27.485025,0.84
SE Blumenau,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,-,525/230/138,-49.079214,-26.782302,0.49
SE Boa Esperança,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,500/230,-43.5639584,-6.72389015,0.84
SE Boa Vista,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,-,230/69/13;8,-60.7172411,2.9420675,0.79
SE Bom Despacho 3,CEMIG - Companhia Energética de Minas Gerais,2004,500,-45.31068715,-19.79276048,0.59
SE Bom Jardim,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,-,440/138/88/13;8,-46.99019091,-23.15177538,0.71
SE Bom Jesus da Lapa II,TAESA - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A,2003,500/230,-43.34340604,-13.30980403,0.33
SE Bom Jesus II,SPEDRO - SAO PEDRO TRANSMISSORA DE ENERGIA S/A,2017,230/69,-44.31174264,-9.1035703,0.35
SE Bom Nome,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,-,230/138/69,-38.62754114,-7.997264,0.79
